id,status,name,company_type,Type,cidade,estado,carteira,Assinatura,Novo company_type,Nova carteira
93418,suspended,F M Veiculos,Revenda,company,São Luís,Maranhão,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93419,inactive,Luis Filipi Brogni,Revenda,company,Alvorada,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93420,inactive,Sanvel Multimarcas,Revenda,company,São Luís,Maranhão,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93421,active,Dobrucki Custom Shop,Revenda,company,Curitiba,Paraná,Carteira CS - Kelly Viana,Anuncio Revenda Ilimitado,Revendas,Diogo Ramos
93422,active,Brasilia Veiculos,Revenda,company,Manaus,Amazonas,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93423,inactive,Gyn Multimarcas,Revenda,company,Goiânia,Goiás,Carteira CS - Rita Moregola,#N/A,Revendas,Gabriela Silva
93424,inactive,Md Veiculos,Revenda,company,Birigui,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93425,inactive,Alan Motors,Revenda,company,Rio Claro,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93426,inactive,Art Veiculos,Revenda,company,Rio Claro,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93427,inactive,S2 Automarcas,Revenda,company,Catanduva,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93428,inactive,Dudu Automóveis,Revenda,company,Brasília,Distrito Federal,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93429,inactive,Urbano Veiculos,Revenda,company,Cabreúva,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93430,inactive,Stop Car Multimarcas,Revenda,company,Fortaleza,Ceará,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93431,inactive,Marcio Motors,Revenda,company,Bauru,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93432,inactive,Focar Veiculos,Revenda,company,Bauru,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93433,inactive,Avant Veiculos,Revenda,company,Rio das Ostras,Rio de Janeiro,Carteira CS - Rita Moregola,#N/A,Revendas,Diogo Ramos
93434,inactive,Nobre Car,Revenda,company,Nova Iguaçu,Rio de Janeiro,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93435,inactive,Vs Veiculos,Revenda,company,Açailândia,Maranhão,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93436,inactive,Gu Veiculos,Revenda,company,Açailândia,Maranhão,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93437,inactive,Navecar Veiculos,Revenda,company,Blumenau,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93438,active,Alfa Motors,Revenda,company,Gurupi,Tocantins,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93439,inactive,Jonas Cadorin,Revenda,company,Araranguá,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93440,inactive,Hangar Motors,Revenda,company,Campinas,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93441,inactive,Sergio Motos,Revenda,company,Pinhais,Paraná,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93442,inactive,Capital Veiculos,Revenda,company,Belo Horizonte,Minas Gerais,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93443,inactive,Timm Automóveis,Revenda,company,Santa Maria,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93444,inactive,Toninhoscar,Revenda,company,São Paulo,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93445,active,Unicar,Revenda,company,Uberaba,Minas Gerais,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93446,inactive,Indablu Veículos,Revenda,company,Indaial,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93447,inactive,Lecauto Veiculos,Revenda,company,Montenegro,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93448,inactive,Mhs Veiculos,Revenda,company,Itapetininga,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93449,inactive,Primus Veículos,Revenda,company,União da Vitória,Paraná,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93450,inactive,R&A Automoveis,Revenda,company,Aracaju,Sergipe,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93451,inactive,Ivan Batista Vargas Alves,Revenda,company,Cachoeira do Sul,Rio Grande do Sul,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93452,inactive,Md2 Multimarcas,Revenda,company,Bragança Paulista,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93453,inactive,Planeta Veículos,Revenda,company,Juazeiro do Norte,Ceará,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93454,inactive,Oliveira Veiculos,Revenda,company,Panorama,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93455,inactive,Minas Car,Revenda,company,Limeira,São Paulo,Carteira UsadosBR,#N/A,Revendas,Lucas Bombini
93456,inactive,Miami Automoveis,Revenda,company,Brusque,Santa Catarina,Carteira UsadosBR,#N/A,Concessionárias,
93457,inactive,RF Automóveis,Revenda,company,Rio do Sul,Santa Catarina,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93458,active,Goiania Veiculos ROO,Revenda,company,Rondonópolis,Mato Grosso,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93459,inactive,Jf Veículos,Revenda,company,Primavera do Leste,Mato Grosso,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93460,inactive,Possatti Veiculos,Revenda,company,Cariacica,Espírito Santo,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
93461,active,Rimax Automóveis,Revenda,company,Barueri,São Paulo,Carteira CS - Kelly Viana,ANUNCIO REVENDA _ Anual,Revendas,Lucas Bombini
